brand,category1,category2,category3,category4,price,pro_index,product
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.29,35,"PureAlmond All-Natural Almond Milk, Unsweetened, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Other,,5.29,35,"Oat Yeah Oatmilk, Plain, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Vanilla, Plastic Bottle"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,35,"Almond Milk, Original, Plastic Bottles"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,35,"Almond Milk, Original, Plastic Bottle"
So Delicious ,Dairy,"Milk, Plant-Based ",Nut,Coconut,3.39,35,"Dairy Free Coconutmilk Beverage, Unsweetened, Carton"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Coconut,4.29,35,"All Natural Coconutmilk, Original, Carton"
Silk ,Dairy,Cream & Creamers,Plant-Based,,2.69,35,"Soy Creamer, Vanilla"
Just FreshDirect ,Grocery,Pantry,"Coffee, Tea & Cocoa",Packaged Coffee,8.99,35,"Whole Bean Coffee, French Roast"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,4.99,35,"Almond Milk Coffee Creamer, Vanilla"
Silk ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.29,35,"PureAlmond All-Natural Almond Milk, Vanilla, Carton"
WestSoy ,Dairy,"Milk, Plant-Based ",Soy,,2.99,35,"Organic Unsweetened Non-Dairy Soymilk, Carton"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,,29,"Oatmilk, Chocolate, Cartons"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,34.68,29,"Almond Breeze Almond Milk, Original, Cartons"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,,29,"Coconut-Milk Elixir, Turmeric Golden-Milk, Plastic Bottles"
Good Catch ,Grocery,Pantry,Canned Goods,Tuna & Seafood,4.99,29,"Fish-Free Tuna, Mediterranean"
Siggi's ,Dairy,Yogurt,Non-Dairy,,2.19,30,"Plant-Based Coconut Blend Yogurt, Mixed Berries"
Coffee-Mate ,Dairy,Cream & Creamers,Creamers,,3.59,30,"Non-Dairy Coffee Creamer, Toasted Marshmallow Mocha"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,3.99,30,"Coconut-Milk Elixir, Matcha Latte, Plastic Bottle"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,3.99,30,"Coconut-Milk Elixir, Maca Mocha, Plastic Bottle"
Pacific ,Dairy,"Milk, Plant-Based ",Other,,3.99,30,"Organic Oat Plant-Based Beverage, Original, Carton"
Rice Dream ,Dairy,"Milk, Plant-Based ",Rice,,3.29,30,"Vanilla, Enriched, Carton"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,3.99,30,"Better Half Coconut Cream & Almond Milk, Vanilla, Carton"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,3.99,30,"Coconut-Milk Elixir, Turmeric Golden-Milk, Plastic Bottle"
Forager ,Dairy,Yogurt,Non-Dairy,,1.99,30,"Organic Cashewgurt, Cherry"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,3.99,30,"Coconut-Milk Elixir, Reishi Chocolate, Plastic Bottle"
Coffee-Mate ,Dairy,Cream & Creamers,Creamers,,3.59,30,"Non-Dairy Natural Bliss Coffee Creamer, Vanilla"
Just FreshDirect ,Grocery,Pantry,"Coffee, Tea & Cocoa",Packaged Coffee,7.99,30,"Ground Coffee, Hawaiian Kona Hapa"
So Delicious ,Dairy,Cream & Creamers,Plant-Based,,4.29,30,"Dairy Free Coconutmilk Creamer, Original"
Milkadamia ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.99,30,"Macadamia Milk, Unsweetened, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,4.99,30,"Almond Milk, Toasted Oats n' Almond, Plastic Bottle"
So Delicious ,Dairy,Cream & Creamers,Plant-Based,,4.29,30,"Dairy Free Coconutmilk Creamer, French Vanilla"
Forager ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,5.99,30,"Organic Cashewmilk, Unsweetened, Plastic Bottle"
Kite Hill ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,7.99,30,"Almond Milk Cream Cheese Style Spread, Plain"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,4.99,30,"Almond Milk Coffee Creamer, Hazelnut"
Daiya ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,5.29,30,Dairy Free Cheddar Style Shreds
Vita Coco ,Dairy,"Milk, Plant-Based ",Nut,Coconut,4.99,30,"Coconutmilk, Original, Plastic Bottle"
Rice Dream ,Dairy,"Milk, Plant-Based ",Rice,,3.29,30,"Original, Enriched, Carton"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,3.99,30,"Better Half Coconut Cream & Almond Milk, Original"
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,2.89,30,"Almond Breeze Almond Milk, Original, Carton"
Tofutti ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,3.79,30,No Butterfat Better Than Cream Cheese Plain
Silk ,Dairy,Cream & Creamers,Plant-Based,,2.69,30,"Soy Creamer, Original"
Daiya ,Dairy,Packaged Cheese,Shredded & Grated,Mozzarella,5.29,30,Dairy Free Mozzarella Style Shreds
Blue Diamond ,Dairy,"Milk, Plant-Based ",Nut,Almond,2.89,30,"Almond Breeze Almond Milk, Vanilla, Carton"
Beyond Meat ,Frozen,Meat Alternatives,Bacon & Sausage,,9.99,30,"Beyond Sausage, Brat Original"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,4.99,30,"Almond Milk Coffee Creamer, Unsweetened"
Daiya ,Dairy,Packaged Cheese,Sliced,Cheddar,4.99,30,Dairy Free Cheddar Style Slices
Silk ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Soymilk, Plain, Cartons"
Lavva ,Dairy,Yogurt,Non-Dairy,,2.49,29,"Whole Food Plant-Based Yogurt, Strawberry"
Seapoint Farms ,Grocery,Pantry,"Nuts, Seeds & Dried Fruit",Mixed & Other,12.99,29,"Dry Roasted Edamame Snack Packs, Sea Salt"
Nona Lim ,Grocery,Pantry,Soup & Meals,Instant,6.99,29,"Noodle Bowl, Dan Dan"
Snow Monkey ,Frozen,Ice Cream & Treats,Non-Dairy & Soy,,5.99,29,"Superfood Ice Treat, Açai Berry"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Green Garbanzos + Corn + Coriander"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Kidney Beans + Carrots + Tamarind"
Good Catch ,Grocery,Pantry,Canned Goods,Tuna & Seafood,4.99,29,"Fish-Free Tuna, Oil & Herbs"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.79,29,"Organic Coconut-Milk Protein Elixir, Vanilla Spice, Plastic Bottle"
Miyoko's ,Dairy,Plant-Based & Vegetarian,Soy & Non-Dairy Cheese,,9.99,29,Classic Vegan Mozzarella
Milkadamia ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.99,29,"Macadamia Milk, Unsweetened Vanilla, Carton"
Milkadamia ,Dairy,"Milk, Plant-Based ",Nut,Cashew & Other,4.99,29,"Macadamia Milk, Latte Da Barista, Carton"
Snow Monkey ,Frozen,Ice Cream & Treats,Non-Dairy & Soy,,5.99,29,"Superfood Ice Treat, Cacao"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Green Split Peas + Spinach + Coconut"
Lavva ,Dairy,Yogurt,Non-Dairy,,2.49,29,"Whole Food Plant-Based Yogurt, Raspberry"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.79,29,"Organic Coconut-Milk Protein Elixir, Dark Chocolate, Plastic Bottle"
Miyoko's ,Dairy,Butter & Margarine,Margarine,,7.99,29,European Style Cultured Vegan Butter
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,5.99,29,"Almond Milk, Holiday Nog, Plastic Bottle"
JUST ,Dairy,Eggs,Egg Products,,7.99,29,Plant-Based Egg Scramble
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Probiotic Shake, Strawberry & Banana, Plastic Bottle"
Lavva ,Dairy,Yogurt,Non-Dairy,,2.49,29,"Whole Food Plant-Based Yogurt, Original"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Probiotic Shake, Banana & Date, Plastic Bottle"
Good Catch ,Grocery,Pantry,Canned Goods,Tuna & Seafood,4.99,29,"Fish-Free Tuna, Naked in Water"
Maya Kaimal ,Grocery,Pantry,Soup & Meals,Vegetable,4.49,29,"Organic Everyday Dal, Red Lentil + Butternut Squash + Coconut"
Coffee-Mate ,Dairy,Cream & Creamers,Creamers,,3.59,29,"Non-Dairy Coffee Creamer, Coconut Caramel Latte"
Elmhurst ,Dairy,"Milk, Plant-Based ",Nut,Almond,5.99,29,"Milked Almonds, Unsweetened, Carton"
Califia Farms ,Dairy,Cream & Creamers,Plant-Based,,4.99,29,"Almond Milk Coffee Creamer, Pumpkin Spice"
Forager ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,4.99,29,"Organic Protein Plant Shake, Nuts & Chocolate, Plastic Bottle"
Soy Dream ,Dairy,"Milk, Plant-Based ",Soy,,3.29,29,"Original, Enriched, Carton"
Aloha ,Grocery,Pantry,Snacks,Bars,2.99,29,"Organic Plant-Based Protein Bar, Chocolate Mint"
Oatly ,Dairy,"Milk, Plant-Based ",Other,,33.54,29,"Oatmilk, Original, Cartons"
WestSoy ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Organic Unsweetened Non-Dairy Soymilk, Cartons"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Barista Blend, Cartons"
Chobani ,Dairy,"Milk, Plant-Based ",Other,,3.99,29,"Oat Drink, Chocolate, Carton"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Vanilla, Plastic Bottles"
Califia Farms ,Dairy,"Milk, Plant-Based ",Nut,Almond,,29,"Almond Milk, Toasted Coconut, Plastic Bottles"
Rebbl ,Dairy,"Milk, Plant-Based ",Smoothies & Blends,,,29,"Coconut-Milk Elixir, Matcha Latte, Plastic Bottles"
Silk ,Dairy,"Milk, Plant-Based ",Soy,,,29,"Organic Soymilk, Unsweetened, Cartons"
